 Sr. No , Province , NA , District , Total Candidates , Polling Stations , Wining Party , Elected MNA , Total Male Voters , Total Female Voters , Total Voters , Total Casted Male Voters , Total Casted Female Voters , Total Casted Votes , Correct Votes , Incorect Votes , Total Turnout % , Male Turnout % , Female Turnout % , IND  , IND-win , IND-PTI , PML(N) , PPPP , MQM  , JUI(P) , ANP , JIP , TLP , PML , IPP , MWMP , BNP , PML(Z) , PNAPF , BAP , PMML , PMAP , NP , GDA , PTI(P) , RJUI , PRHP , QWP , MOTP , PNP , AWP , JUIP(S) , TIPM , HQMP , PAT , PIRP , JUI(N) , NDM , TDP , PFM , PTSP , ATP , MATP , PDQM , TJP , PAAP , BPP , SKQM , PTE , GDP , AATP , PMLKQK , PWP , PAL , PAQ , PFP , TTK , PTSB , TLI , AJPP , AMLP , TTP , PT-Insaniat , APP , JUP(IN) , PTI(N) , ALPP , SIC , KIAP , PPP(BS) , TAP , JWP , IJIP , PL , PMP(N) , HKP , NPC , MJAHP , KI , PML(O) , APMM , SDP , TTNP , PPAP(A) , JUI(NP) , PKI(CA) , PSDP , PAAM , Aman.TP , PSP , PMA , KS , AL , PCP , MQMP , ALI , PML-C , PMLSAF , BNP(A) , JQM , HDTB , HDP , AHDP 
 1 , KPK , NA-1 , Chitral , 10 , 312 , IND-PTI , Abdul Latif ," 169,193 "," 144,357 "," 313,550 "," 84,230 "," 82,578 "," 166,808 "," 162,053 "," 4,755 ", 53 , 50 , 57 ," 1,838 ", -   ," 61,834 "," 20,007 "," 23,723 ", -   ," 42,987 "," 2,411 "," 9,253 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 2 , KPK , NA-2 , Swat-I , 9 , 341 , IND-PTI , Amjad Ali Khan ," 265,578 "," 219,822 "," 485,400 "," 123,786 "," 53,569 "," 177,355 "," 171,349 "," 6,006 ", 37 , 47 , 24 , 69 , -   ," 88,938 "," 37,764 "," 11,632 ", -   ," 15,522 "," 9,158 "," 5,949 "," 1,215 ", -   , -   , -   , -   , -   ," 1,102 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 3 , KPK , NA-3 , Swat-II , 8 , 309 , IND-PTI , Saleem Rehman ," 251,356 "," 211,325 "," 462,681 "," 127,255 "," 39,773 "," 167,028 "," 162,062 "," 4,966 ", 36 , 51 , 19 ," 1,658 ", -   ," 81,411 "," 27,861 "," 9,335 ", -   ," 11,537 "," 16,717 "," 9,366 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,177 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 4 , KPK , NA-4 , Swat-III , 20 , 346 , IND-PTI , Sohail Sultan ," 286,769 "," 242,414 "," 529,183 "," 121,286 "," 39,900 "," 161,186 "," 155,774 "," 5,412 ", 30 , 42 , 16 ," 2,919 ", -   ," 88,009 ", -   ," 2,964 ", -   ," 15,337 "," 20,890 "," 7,465 ", 907 , -   , -   , -   , -   , -   , 313 , -   , -   , -   , -   , -   ," 16,813 ", 157 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 5 , KPK , NA-5 , Dir Upper , 11 , 421 , IND-PTI , Sahibzada Sibghatullah ," 327,153 "," 263,280 "," 590,433 "," 132,617 "," 80,611 "," 213,228 "," 204,209 "," 9,019 ", 36 , 41 , 31 , 664 , -   ," 90,865 "," 11,431 "," 37,615 ", 238 ," 12,728 ", -   ," 48,246 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 179 , 738 , -   , -   ," 1,505 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 6 , KPK , NA-6 , Lower Dir-I , 11 , 307 , IND-PTI , M Basheer Khan ," 253,972 "," 203,103 "," 457,075 "," 109,850 "," 58,836 "," 168,686 "," 164,184 "," 4,502 ", 37 , 43 , 29 , 853 , -   ," 81,060 "," 1,118 "," 6,922 ", -   ," 6,149 "," 11,544 "," 56,538 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 7 , KPK , NA-7 , Lower Dir-II , 16 , 308 , IND-PTI , Mehboob Shah ," 227,837 "," 185,940 "," 413,777 "," 111,937 "," 64,581 "," 176,518 "," 172,278 "," 4,240 ", 43 , 49 , 35 , 645 , -   ," 84,843 "," 4,170 "," 20,346 ", 82 ," 13,941 "," 16,096 "," 31,133 ", -   , -   , -   , -   , -   , -   , -   , -   , 222 , -   , -   , -   , -   , 190 , 65 , 545 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 8 , KPK , NA-9 , Malkand , 15 , 348 , IND-PTI , Junaid Akbar ," 254,116 "," 214,335 "," 468,451 "," 126,583 "," 75,292 "," 201,875 "," 196,146 "," 5,729 ", 43 , 50 , 35 ," 1,392 ", -   ," 113,513 "," 5,699 "," 40,740 ", -   ," 16,767 ", -   ," 16,162 ", 889 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 787 , -   , -   , -   , -   , 197 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 9 , KPK , NA-10 , Bunir , 8 , 397 , IND-PTI , Gohar Ali Khan ," 302,606 "," 259,646 "," 562,252 "," 150,155 "," 59,568 "," 209,723 "," 201,230 "," 8,493 ", 37 , 50 , 23 , 295 , -   ," 110,023 "," 19,104 "," 5,697 ", -   , -   ," 30,302 "," 26,106 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,853 ", -   , -   , -   , -   , -   ," 4,850 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 10 , KPK , NA-11 , Shangla , 16 , 346 , PML(N) , Ameer Muqam ," 247,099 "," 218,503 "," 465,602 "," 114,830 "," 37,023 "," 151,853 "," 146,110 "," 5,743 ", 33 , 46 , 17 ," 12,334 ", -   ," 54,311 "," 59,863 "," 5,197 ", -   , -   ," 10,333 "," 3,287 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 230 , -   , -   , -   , -   , -   , 555 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
